Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 100, 12, 155.827, 26.204, 0.573
1, 32, 120, 12, 148.313, 26.419, 0.585
1, 32, 140, 12, 148.295, 26.420, 0.585
1, 64, 80, 15, 147.948, 26.430, 0.586
1, 64, 120, 12, 144.776, 26.524, 0.592
1, 64, 140, 12, 144.758, 26.524, 0.592
1, 64, 160, 12, 144.496, 26.532, 0.593
1, 64, 180, 12, 144.450, 26.534, 0.593
1, 128, 160, 12, 144.381, 26.536, 0.594
1, 128, 180, 12, 144.343, 26.537, 0.594
1, 256, 120, 12, 143.992, 26.547, 0.594
1, 256, 140, 12, 143.979, 26.548, 0.594
1, 256, 160, 12, 143.725, 26.555, 0.595
1, 256, 180, 12, 143.685, 26.557, 0.595
2, 32, 100, 8, 102.649, 28.017, 0.701
2, 64, 40, 12, 99.649, 28.146, 0.712
2, 64, 60, 10, 99.380, 28.158, 0.714
2, 64, 100, 8, 98.985, 28.175, 0.714
2, 128, 100, 9, 98.197, 28.210, 0.720
2, 256, 100, 9, 97.646, 28.234, 0.722
