Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 1324.431, 16.911, 0.226
1, 32, 40, 20, 361.480, 22.550, 0.421
1, 32, 60, 21, 351.629, 22.670, 0.428
1, 32, 80, 19, 351.306, 22.674, 0.428
1, 32, 120, 16, 342.086, 22.789, 0.434
1, 32, 140, 16, 342.057, 22.790, 0.434
1, 32, 160, 16, 341.534, 22.796, 0.434
1, 32, 180, 16, 341.402, 22.798, 0.434
1, 64, 120, 16, 340.378, 22.811, 0.437
1, 64, 140, 16, 340.346, 22.812, 0.437
1, 64, 160, 16, 339.939, 22.817, 0.437
1, 64, 180, 16, 339.806, 22.818, 0.438
1, 128, 120, 16, 339.200, 22.826, 0.438
1, 128, 140, 16, 339.164, 22.827, 0.438
1, 128, 160, 16, 338.780, 22.832, 0.439
1, 128, 180, 16, 338.650, 22.833, 0.439
1, 256, 120, 16, 337.259, 22.851, 0.439
1, 256, 140, 16, 337.231, 22.852, 0.439
1, 256, 160, 16, 336.875, 22.856, 0.439
1, 256, 180, 16, 336.740, 22.858, 0.439
2, 32, 40, 24, 181.446, 25.543, 0.602
2, 32, 60, 19, 181.272, 25.548, 0.603
2, 32, 80, 19, 180.475, 25.567, 0.605
2, 32, 100, 20, 176.745, 25.657, 0.610
2, 32, 160, 20, 176.405, 25.666, 0.615
2, 64, 100, 22, 172.532, 25.762, 0.622
2, 128, 100, 21, 171.848, 25.779, 0.623
2, 128, 160, 20, 171.750, 25.782, 0.627
2, 128, 180, 20, 171.593, 25.786, 0.627
2, 256, 100, 21, 170.776, 25.807, 0.625
2, 256, 160, 20, 170.576, 25.812, 0.629
2, 256, 180, 20, 170.455, 25.815, 0.629
3, 32, 40, 11, 162.970, 26.010, 0.673
3, 32, 100, 7, 162.770, 26.015, 0.671
3, 64, 100, 8, 159.011, 26.117, 0.688
3, 128, 100, 8, 157.937, 26.146, 0.692
3, 256, 40, 14, 157.337, 26.162, 0.697
3, 256, 100, 8, 157.013, 26.171, 0.694
