Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 901.581, 18.581, 0.343
1, 32, 40, 10, 534.057, 20.855, 0.494
1, 32, 60, 7, 533.880, 20.856, 0.495
1, 32, 80, 9, 529.195, 20.895, 0.497
1, 32, 100, 12, 507.646, 21.075, 0.501
1, 32, 160, 11, 507.139, 21.080, 0.506
1, 32, 180, 12, 507.014, 21.081, 0.506
1, 64, 100, 12, 503.819, 21.108, 0.507
1, 64, 160, 12, 503.100, 21.114, 0.512
1, 64, 180, 12, 503.074, 21.114, 0.512
1, 128, 160, 12, 502.684, 21.118, 0.513
2, 32, 40, 9, 235.990, 24.402, 0.556
2, 32, 60, 6, 235.820, 24.405, 0.555
2, 32, 100, 5, 232.639, 24.464, 0.556
2, 64, 40, 11, 232.136, 24.473, 0.565
2, 64, 100, 5, 228.897, 24.534, 0.565
