Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 100, 11, 222.514, 24.657, 0.539
1, 32, 120, 8, 220.216, 24.702, 0.544
1, 32, 140, 8, 220.195, 24.703, 0.544
1, 32, 160, 9, 219.357, 24.719, 0.545
1, 32, 180, 9, 219.330, 24.720, 0.545
1, 32, 200, 9, 219.330, 24.720, 0.545
1, 64, 60, 13, 217.471, 24.757, 0.546
1, 64, 120, 10, 214.475, 24.817, 0.551
1, 64, 140, 10, 214.461, 24.817, 0.551
1, 128, 120, 10, 213.244, 24.842, 0.553
1, 128, 140, 10, 213.233, 24.842, 0.553
2, 32, 100, 7, 196.889, 25.189, 0.573
2, 64, 40, 10, 194.068, 25.251, 0.579
2, 64, 100, 6, 192.993, 25.275, 0.579
2, 128, 100, 6, 192.025, 25.297, 0.582
