Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 40, 10, 204.770, 25.018, 0.555
1, 32, 60, 7, 204.726, 25.019, 0.555
1, 32, 80, 9, 202.518, 25.066, 0.559
1, 32, 100, 10, 200.288, 25.114, 0.560
1, 32, 120, 8, 198.397, 25.155, 0.566
1, 32, 140, 8, 198.388, 25.156, 0.566
1, 32, 160, 8, 198.202, 25.160, 0.566
1, 32, 180, 8, 198.180, 25.160, 0.566
1, 64, 80, 11, 197.742, 25.170, 0.566
1, 64, 100, 10, 196.978, 25.187, 0.565
1, 64, 120, 8, 195.001, 25.230, 0.571
1, 64, 140, 8, 194.992, 25.231, 0.571
1, 64, 160, 8, 194.802, 25.235, 0.571
1, 64, 180, 8, 194.775, 25.235, 0.571
1, 128, 120, 8, 194.135, 25.250, 0.572
1, 128, 140, 8, 194.123, 25.250, 0.572
1, 128, 160, 8, 193.938, 25.254, 0.573
1, 128, 180, 8, 193.915, 25.255, 0.573
2, 32, 40, 8, 183.336, 25.498, 0.587
2, 32, 60, 6, 182.990, 25.507, 0.587
2, 32, 100, 5, 182.157, 25.526, 0.587
2, 64, 40, 9, 179.949, 25.579, 0.595
2, 64, 60, 7, 179.872, 25.581, 0.595
2, 64, 100, 5, 178.791, 25.607, 0.594
2, 128, 100, 4, 178.609, 25.612, 0.595
