Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 100, 10, 203.180, 25.052, 0.557
1, 32, 120, 8, 201.246, 25.094, 0.563
1, 32, 140, 8, 201.235, 25.094, 0.563
1, 32, 160, 8, 201.030, 25.098, 0.563
1, 32, 180, 8, 201.007, 25.099, 0.563
1, 64, 80, 11, 200.729, 25.105, 0.563
1, 64, 100, 10, 199.865, 25.123, 0.562
1, 64, 120, 8, 197.992, 25.164, 0.568
1, 64, 140, 8, 197.979, 25.165, 0.568
1, 64, 160, 8, 197.759, 25.169, 0.568
1, 64, 180, 8, 197.732, 25.170, 0.568
1, 128, 120, 8, 196.460, 25.198, 0.570
1, 128, 140, 9, 196.006, 25.208, 0.570
2, 32, 100, 5, 184.146, 25.479, 0.585
2, 64, 40, 9, 182.180, 25.526, 0.593
2, 64, 60, 7, 182.100, 25.528, 0.593
2, 64, 100, 5, 180.959, 25.555, 0.593
2, 128, 40, 11, 180.765, 25.560, 0.596
2, 128, 100, 4, 180.062, 25.577, 0.593
