Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 100, 16, 413.736, 21.964, 0.402
1, 32, 120, 12, 408.845, 22.015, 0.407
1, 32, 140, 12, 408.828, 22.015, 0.408
1, 32, 160, 12, 408.298, 22.021, 0.408
1, 32, 180, 12, 408.257, 22.021, 0.408
1, 64, 120, 12, 405.323, 22.053, 0.410
1, 64, 140, 12, 405.307, 22.053, 0.410
1, 64, 160, 12, 404.763, 22.059, 0.411
1, 64, 180, 12, 404.729, 22.059, 0.411
1, 64, 200, 12, 404.729, 22.059, 0.411
1, 128, 120, 12, 402.596, 22.082, 0.412
1, 128, 140, 12, 402.581, 22.082, 0.412
1, 128, 160, 12, 402.057, 22.088, 0.412
1, 128, 180, 12, 402.021, 22.088, 0.412
1, 128, 200, 12, 402.021, 22.088, 0.412
2, 32, 100, 13, 311.375, 23.198, 0.476
2, 64, 100, 13, 308.583, 23.237, 0.481
2, 128, 100, 13, 306.405, 23.268, 0.483
