Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 545.072, 20.766, 0.377
1, 32, 40, 10, 203.847, 25.038, 0.556
1, 32, 60, 7, 203.778, 25.039, 0.556
1, 32, 80, 9, 201.632, 25.085, 0.560
1, 32, 100, 10, 199.247, 25.137, 0.561
1, 32, 120, 8, 197.449, 25.176, 0.567
1, 32, 140, 8, 197.439, 25.176, 0.567
1, 32, 160, 8, 197.249, 25.181, 0.567
1, 32, 180, 8, 197.219, 25.181, 0.567
1, 64, 100, 10, 196.502, 25.197, 0.566
1, 64, 120, 8, 194.807, 25.235, 0.571
1, 64, 140, 8, 194.796, 25.235, 0.571
1, 64, 160, 8, 194.590, 25.240, 0.572
1, 64, 180, 8, 194.565, 25.240, 0.572
1, 128, 120, 8, 193.612, 25.261, 0.573
1, 128, 140, 8, 193.601, 25.262, 0.573
1, 128, 160, 8, 193.405, 25.266, 0.573
1, 128, 180, 8, 193.382, 25.267, 0.573
2, 32, 40, 8, 182.957, 25.507, 0.587
2, 32, 60, 7, 182.844, 25.510, 0.588
2, 32, 100, 5, 181.678, 25.538, 0.588
2, 64, 40, 9, 180.114, 25.575, 0.595
2, 64, 60, 7, 180.058, 25.577, 0.595
2, 64, 100, 4, 178.989, 25.603, 0.593
2, 128, 100, 4, 178.065, 25.625, 0.595
