Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 748.218, 19.391, 0.316
1, 32, 40, 12, 257.886, 24.017, 0.503
1, 32, 60, 15, 250.288, 24.146, 0.512
1, 32, 120, 10, 247.854, 24.189, 0.515
1, 32, 140, 10, 247.838, 24.189, 0.515
1, 32, 160, 10, 247.604, 24.193, 0.516
1, 32, 180, 10, 247.569, 24.194, 0.516
1, 64, 60, 15, 247.294, 24.199, 0.516
1, 64, 120, 10, 244.798, 24.243, 0.520
1, 64, 140, 10, 244.788, 24.243, 0.520
1, 64, 160, 10, 244.579, 24.247, 0.520
1, 64, 180, 10, 244.542, 24.247, 0.520
1, 128, 120, 10, 243.325, 24.269, 0.521
1, 128, 140, 10, 243.313, 24.269, 0.521
1, 128, 160, 10, 243.110, 24.273, 0.522
1, 128, 180, 10, 243.076, 24.273, 0.522
2, 32, 40, 11, 213.608, 24.835, 0.556
2, 32, 100, 7, 211.773, 24.872, 0.556
2, 64, 40, 11, 210.737, 24.893, 0.562
2, 64, 60, 9, 210.547, 24.897, 0.562
2, 64, 100, 7, 208.911, 24.931, 0.562
2, 128, 100, 7, 207.958, 24.951, 0.564
