Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 6062.693, 10.304, 0.099
1, 32, 40, 6, 5811.825, 10.488, 0.095
1, 32, 60, 4, 5811.690, 10.488, 0.095
1, 32, 100, 1, 5790.641, 10.504, 0.105
1, 32, 120, 4, 5724.444, 10.553, 0.099
1, 32, 140, 4, 5724.441, 10.553, 0.099
1, 32, 160, 4, 5724.218, 10.554, 0.098
1, 64, 120, 4, 5722.766, 10.555, 0.099
1, 64, 140, 4, 5722.750, 10.555, 0.099
1, 64, 160, 4, 5722.371, 10.555, 0.099
1, 128, 100, 4, 5705.096, 10.568, 0.099
2, 32, 40, 48, 3527.086, 12.657, 0.276
2, 32, 60, 37, 3525.578, 12.658, 0.276
2, 32, 100, 50, 3420.275, 12.790, 0.283
3, 32, 40, 50, 2394.190, 14.339, 0.368
3, 32, 60, 50, 2361.730, 14.399, 0.370
3, 32, 80, 50, 2353.252, 14.414, 0.371
3, 32, 100, 50, 2302.203, 14.509, 0.373
