Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 901.581, 18.581, 0.343
1, 32, 40, 10, 517.861, 20.989, 0.517
1, 32, 60, 7, 517.733, 20.990, 0.517
1, 32, 80, 9, 514.082, 21.020, 0.520
1, 32, 100, 12, 495.466, 21.181, 0.524
1, 64, 100, 12, 491.720, 21.214, 0.530
1, 128, 100, 12, 491.265, 21.218, 0.531
2, 32, 40, 9, 194.176, 25.249, 0.590
2, 32, 60, 6, 193.599, 25.262, 0.590
2, 32, 100, 4, 190.189, 25.339, 0.588
2, 64, 100, 4, 186.854, 25.416, 0.598
2, 128, 100, 4, 186.308, 25.428, 0.601
2, 256, 100, 4, 185.262, 25.453, 0.602
3, 256, 100, 2, 184.626, 25.468, 0.587
