Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 2299.904, 14.514, 0.234
1, 32, 40, 12, 1894.148, 15.357, 0.299
1, 32, 60, 13, 1882.650, 15.383, 0.302
1, 32, 100, 13, 1824.608, 15.519, 0.308
1, 64, 100, 14, 1820.735, 15.528, 0.311
1, 128, 100, 14, 1820.113, 15.530, 0.311
2, 32, 40, 27, 541.826, 20.792, 0.501
2, 32, 60, 21, 541.692, 20.793, 0.501
2, 32, 80, 31, 527.737, 20.907, 0.503
2, 32, 100, 24, 520.357, 20.968, 0.504
2, 64, 100, 25, 517.162, 20.995, 0.511
2, 128, 100, 41, 504.511, 21.102, 0.515
3, 32, 40, 17, 311.762, 23.193, 0.517
3, 32, 60, 13, 311.555, 23.195, 0.517
3, 32, 100, 9, 308.866, 23.233, 0.517
3, 64, 40, 19, 308.005, 23.245, 0.526
3, 64, 60, 17, 306.570, 23.266, 0.525
3, 64, 100, 13, 303.387, 23.311, 0.526
3, 128, 100, 15, 300.806, 23.348, 0.528
