Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 2832.635, 13.609, 0.145
1, 32, 40, 46, 1321.111, 16.921, 0.223
1, 32, 60, 36, 1317.113, 16.935, 0.223
1, 32, 80, 40, 1312.345, 16.950, 0.224
1, 32, 100, 36, 1303.791, 16.979, 0.226
1, 32, 120, 33, 1275.938, 17.073, 0.229
1, 32, 140, 37, 1273.866, 17.080, 0.229
1, 32, 160, 37, 1272.062, 17.086, 0.229
1, 32, 180, 37, 1272.038, 17.086, 0.229
1, 32, 200, 37, 1272.036, 17.086, 0.229
1, 64, 160, 37, 1271.456, 17.088, 0.230
1, 64, 180, 37, 1271.421, 17.088, 0.230
1, 64, 200, 37, 1271.419, 17.088, 0.230
2, 32, 40, 50, 688.200, 19.754, 0.353
2, 32, 60, 50, 680.142, 19.805, 0.355
2, 32, 80, 50, 676.724, 19.827, 0.356
2, 32, 100, 50, 672.628, 19.853, 0.357
2, 32, 120, 48, 668.276, 19.881, 0.358
2, 32, 140, 48, 667.737, 19.885, 0.358
2, 32, 160, 50, 664.701, 19.905, 0.359
2, 32, 180, 50, 664.160, 19.908, 0.359
2, 32, 200, 50, 664.158, 19.908, 0.359
2, 64, 160, 49, 662.914, 19.916, 0.362
2, 64, 180, 49, 662.353, 19.920, 0.363
3, 32, 40, 36, 507.825, 21.074, 0.416
3, 32, 60, 35, 504.647, 21.101, 0.417
3, 32, 80, 34, 503.153, 21.114, 0.418
3, 32, 100, 32, 502.532, 21.119, 0.418
3, 32, 120, 32, 500.855, 21.134, 0.418
3, 32, 140, 32, 500.378, 21.138, 0.418
3, 32, 160, 32, 499.811, 21.143, 0.418
3, 32, 180, 32, 499.227, 21.148, 0.419
3, 32, 200, 32, 499.173, 21.148, 0.419
3, 64, 120, 32, 498.008, 21.158, 0.425
3, 64, 140, 32, 497.524, 21.163, 0.425
3, 64, 160, 32, 496.930, 21.168, 0.425
3, 64, 180, 32, 496.397, 21.173, 0.425
3, 64, 200, 32, 496.338, 21.173, 0.425
