Log Started on 10-Mar-2018

Adding Noise
Optimizing for pentagon_speckle_and_gauss_markov_high_optimal
Running polya filter for radius = 1, bins = 32, delta = 20.
Initial MSE: 2859.1724
Iteration 1 of 50 | Duration = 3.555 | MSE = 2832.6352
Iteration 2 of 50 | Duration = 2.686 | MSE = 2832.6352
Iteration 3 of 50 | Duration = 2.567 | MSE = 2832.6352
New optimal MSE: 2832.6352

Running polya filter for radius = 1, bins = 32, delta = 40.
Initial MSE: 2859.1724
Iteration 1 of 50 | Duration = 3.366 | MSE = 2832.6352
Iteration 2 of 50 | Duration = 2.582 | MSE = 2832.6352
Iteration 3 of 50 | Duration = 2.551 | MSE = 1846.4604
Iteration 4 of 50 | Duration = 2.628 | MSE = 1795.2129
Iteration 5 of 50 | Duration = 2.541 | MSE = 1785.0090
Iteration 6 of 50 | Duration = 3.050 | MSE = 1656.0353
Iteration 7 of 50 | Duration = 2.715 | MSE = 1587.4279
Iteration 8 of 50 | Duration = 2.750 | MSE = 1580.7303
Iteration 9 of 50 | Duration = 2.714 | MSE = 1503.7520
Iteration 10 of 50 | Duration = 2.722 | MSE = 1501.5589
Iteration 11 of 50 | Duration = 2.683 | MSE = 1498.4592
Iteration 12 of 50 | Duration = 2.535 | MSE = 1497.5834
Iteration 13 of 50 | Duration = 2.599 | MSE = 1492.6318
Iteration 14 of 50 | Duration = 2.580 | MSE = 1482.0169
Iteration 15 of 50 | Duration = 2.681 | MSE = 1463.9026
Iteration 16 of 50 | Duration = 2.606 | MSE = 1453.6137
Iteration 17 of 50 | Duration = 2.585 | MSE = 1446.4570
Iteration 18 of 50 | Duration = 2.698 | MSE = 1428.8482
Iteration 19 of 50 | Duration = 2.596 | MSE = 1415.2206
Iteration 20 of 50 | Duration = 2.777 | MSE = 1413.8782
Iteration 21 of 50 | Duration = 2.718 | MSE = 1389.4320
Iteration 22 of 50 | Duration = 2.700 | MSE = 1388.2803
Iteration 23 of 50 | Duration = 2.761 | MSE = 1386.6898
Iteration 24 of 50 | Duration = 2.635 | MSE = 1385.4404
Iteration 25 of 50 | Duration = 2.555 | MSE = 1384.1928
Iteration 26 of 50 | Duration = 2.582 | MSE = 1382.1577
Iteration 27 of 50 | Duration = 2.584 | MSE = 1381.3751
