Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 40, 10, 170.153, 25.822, 0.582
1, 32, 60, 7, 170.114, 25.823, 0.582
1, 32, 80, 9, 167.926, 25.880, 0.586
1, 32, 100, 10, 164.163, 25.978, 0.587
1, 32, 120, 8, 164.099, 25.980, 0.593
1, 32, 160, 8, 163.941, 25.984, 0.594
1, 32, 180, 8, 163.923, 25.984, 0.594
1, 32, 200, 8, 163.922, 25.984, 0.594
1, 64, 60, 11, 163.763, 25.989, 0.593
1, 64, 80, 11, 163.301, 26.001, 0.594
1, 64, 100, 10, 161.013, 26.062, 0.592
1, 64, 120, 8, 160.867, 26.066, 0.599
1, 64, 140, 8, 160.862, 26.066, 0.599
1, 64, 160, 8, 160.693, 26.071, 0.599
1, 64, 180, 8, 160.675, 26.071, 0.599
1, 64, 200, 8, 160.674, 26.071, 0.599
1, 128, 120, 8, 160.635, 26.072, 0.601
1, 128, 140, 8, 160.628, 26.073, 0.601
1, 128, 160, 8, 160.466, 26.077, 0.601
1, 128, 180, 8, 160.450, 26.077, 0.601
1, 128, 200, 8, 160.449, 26.077, 0.601
1, 256, 160, 8, 160.355, 26.080, 0.601
1, 256, 180, 8, 160.338, 26.080, 0.601
1, 256, 200, 8, 160.337, 26.080, 0.601
2, 32, 100, 3, 158.552, 26.129, 0.599
2, 64, 100, 3, 155.225, 26.221, 0.607
2, 128, 100, 3, 155.211, 26.222, 0.609
2, 256, 100, 3, 154.280, 26.248, 0.610
