Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 100, 10, 166.550, 25.915, 0.584
1, 32, 120, 8, 166.372, 25.920, 0.591
1, 32, 140, 8, 166.368, 25.920, 0.591
1, 32, 160, 8, 166.184, 25.925, 0.591
1, 32, 180, 8, 166.167, 25.925, 0.591
1, 32, 200, 8, 166.167, 25.925, 0.591
1, 64, 80, 11, 165.818, 25.934, 0.592
1, 64, 100, 10, 163.423, 25.998, 0.590
1, 64, 120, 8, 163.377, 25.999, 0.597
1, 64, 140, 8, 163.369, 25.999, 0.597
1, 64, 160, 8, 163.174, 26.004, 0.597
1, 64, 180, 8, 163.154, 26.005, 0.597
1, 64, 200, 8, 163.154, 26.005, 0.597
1, 128, 100, 10, 162.258, 26.029, 0.591
1, 128, 140, 8, 162.258, 26.029, 0.598
1, 128, 160, 8, 162.076, 26.034, 0.598
1, 128, 180, 8, 162.059, 26.034, 0.599
1, 128, 200, 8, 162.059, 26.034, 0.599
2, 32, 100, 4, 160.599, 26.073, 0.599
2, 64, 100, 4, 157.944, 26.146, 0.607
2, 128, 100, 3, 156.129, 26.196, 0.607
2, 256, 100, 3, 155.502, 26.213, 0.608
