Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 100, 16, 296.495, 23.411, 0.454
1, 32, 120, 12, 295.620, 23.423, 0.463
1, 32, 140, 12, 295.594, 23.424, 0.463
1, 32, 160, 12, 295.179, 23.430, 0.463
1, 32, 180, 12, 295.138, 23.431, 0.463
1, 32, 200, 12, 295.135, 23.431, 0.463
1, 64, 100, 16, 293.726, 23.451, 0.457
1, 64, 120, 12, 293.469, 23.455, 0.466
1, 64, 140, 12, 293.445, 23.456, 0.466
1, 64, 160, 12, 293.026, 23.462, 0.467
1, 64, 180, 12, 292.980, 23.462, 0.467
1, 64, 200, 12, 292.977, 23.462, 0.467
1, 128, 100, 16, 291.437, 23.485, 0.459
1, 128, 120, 12, 291.078, 23.491, 0.468
1, 128, 140, 12, 291.058, 23.491, 0.468
1, 128, 160, 12, 290.656, 23.497, 0.468
1, 128, 180, 12, 290.609, 23.498, 0.468
1, 128, 200, 12, 290.606, 23.498, 0.468
2, 32, 100, 11, 219.493, 24.717, 0.536
2, 64, 100, 11, 218.172, 24.743, 0.542
2, 128, 100, 11, 216.495, 24.776, 0.544
2, 256, 100, 11, 215.567, 24.795, 0.545
