Log Started on 09-Mar-2018

Adding Noise
Optimizing for pentagon_speckle_high_optimal
Running polya filter for radius = 1, bins = 32, delta = 20.
Initial MSE: 2829.6254
Iteration 1 of 50 | Duration = 4.016 | MSE = 2825.8687
Iteration 2 of 50 | Duration = 3.311 | MSE = 2825.8687
Iteration 3 of 50 | Duration = 3.193 | MSE = 2825.8687
New optimal MSE: 2825.8687

Running polya filter for radius = 1, bins = 32, delta = 40.
Initial MSE: 2829.6254
Iteration 1 of 50 | Duration = 4.053 | MSE = 2825.8687
Iteration 2 of 50 | Duration = 2.814 | MSE = 2825.8687
Iteration 3 of 50 | Duration = 2.580 | MSE = 1500.3232
Iteration 4 of 50 | Duration = 2.674 | MSE = 1222.3041
Iteration 5 of 50 | Duration = 2.779 | MSE = 1179.2948
Iteration 6 of 50 | Duration = 3.706 | MSE = 957.9531
Iteration 7 of 50 | Duration = 3.071 | MSE = 888.8236
Iteration 8 of 50 | Duration = 3.439 | MSE = 876.7508
Iteration 9 of 50 | Duration = 2.830 | MSE = 829.6460
Iteration 10 of 50 | Duration = 2.995 | MSE = 824.6488
Iteration 11 of 50 | Duration = 3.120 | MSE = 818.2586
Iteration 12 of 50 | Duration = 2.964 | MSE = 815.5707
Iteration 13 of 50 | Duration = 3.660 | MSE = 807.0075
Iteration 14 of 50 | Duration = 3.364 | MSE = 797.5677
Iteration 15 of 50 | Duration = 3.178 | MSE = 788.8668
Iteration 16 of 50 | Duration = 2.816 | MSE = 783.7531
Iteration 17 of 50 | Duration = 2.655 | MSE = 779.2607
Iteration 18 of 50 | Duration = 2.761 | MSE = 771.2116
Iteration 19 of 50 | Duration = 2.772 | MSE = 764.8895
Iteration 20 of 50 | Duration = 2.784 | MSE = 763.7951
Iteration 21 of 50 | Duration = 3.051 | MSE = 756.4859
Iteration 22 of 50 | Duration = 3.550 | MSE = 755.1505
Iteration 23 of 50 | Duration = 3.236 | MSE = 753.2011
Iteration 24 of 50 | Duration = 3.089 | MSE = 751.8864
Iteration 25 of 50 | Duration = 3.050 | MSE = 749.9123
Iteration 26 of 50 | Duration = 2.764 | MSE = 748.6761
Iteration 27 of 50 | Duration = 2.867 | MSE = 747.3701
Iteration 28 of 50 | Duration = 2.985 | MSE = 746.6823
Iteration 29 of 50 | Duration = 3.054 | MSE = 745.5499
Iteration 30 of 50 | Duration = 3.103 | MSE = 744.3246
Iteration 31 of 50 | Duration = 2.788 | MSE = 742.8298
