Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 100, 12, 210.637, 24.895, 0.525
1, 32, 120, 12, 204.422, 25.026, 0.532
1, 32, 140, 12, 204.408, 25.026, 0.532
1, 64, 80, 15, 203.986, 25.035, 0.532
1, 64, 120, 12, 201.103, 25.097, 0.536
1, 64, 140, 12, 201.091, 25.097, 0.536
1, 128, 120, 12, 199.876, 25.123, 0.538
1, 128, 140, 12, 199.866, 25.123, 0.538
2, 32, 100, 7, 176.828, 25.655, 0.567
2, 64, 40, 11, 175.159, 25.696, 0.573
2, 64, 60, 9, 174.968, 25.701, 0.573
2, 64, 100, 7, 174.060, 25.724, 0.573
2, 128, 100, 7, 173.309, 25.743, 0.575
2, 256, 100, 7, 173.008, 25.750, 0.576
