Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 748.218, 19.391, 0.316
1, 32, 40, 12, 209.530, 24.918, 0.536
1, 32, 60, 11, 205.879, 24.995, 0.540
1, 32, 80, 11, 204.787, 25.018, 0.542
1, 32, 100, 12, 200.359, 25.113, 0.541
1, 32, 120, 10, 199.622, 25.129, 0.550
1, 32, 140, 10, 199.611, 25.129, 0.550
1, 32, 160, 10, 199.432, 25.133, 0.550
1, 32, 180, 10, 199.400, 25.134, 0.550
1, 32, 200, 10, 199.398, 25.134, 0.550
1, 64, 60, 15, 199.127, 25.140, 0.550
1, 64, 100, 11, 197.849, 25.167, 0.545
1, 64, 120, 10, 196.700, 25.193, 0.555
1, 64, 140, 10, 196.695, 25.193, 0.555
1, 64, 160, 10, 196.549, 25.196, 0.555
1, 64, 180, 10, 196.514, 25.197, 0.555
1, 64, 200, 10, 196.512, 25.197, 0.555
1, 128, 120, 10, 195.876, 25.211, 0.556
1, 128, 140, 10, 195.871, 25.211, 0.556
1, 128, 160, 10, 195.730, 25.214, 0.556
1, 128, 180, 10, 195.698, 25.215, 0.556
1, 128, 200, 10, 195.697, 25.215, 0.556
2, 32, 40, 10, 180.488, 25.566, 0.579
2, 32, 100, 5, 178.162, 25.623, 0.578
2, 64, 40, 11, 177.865, 25.630, 0.587
2, 64, 100, 5, 175.198, 25.696, 0.585
2, 128, 100, 6, 174.482, 25.713, 0.589
2, 256, 100, 6, 173.547, 25.737, 0.590
