Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 947.231, 18.366, 0.327
1, 32, 40, 12, 564.005, 20.618, 0.461
1, 32, 60, 11, 558.609, 20.660, 0.464
1, 32, 80, 11, 557.314, 20.670, 0.466
1, 32, 100, 12, 542.055, 20.790, 0.469
1, 32, 120, 10, 539.249, 20.813, 0.473
1, 32, 140, 12, 538.044, 20.823, 0.475
1, 32, 160, 12, 537.865, 20.824, 0.475
1, 32, 180, 12, 537.853, 20.824, 0.475
1, 64, 100, 14, 536.648, 20.834, 0.475
1, 64, 120, 12, 533.801, 20.857, 0.480
1, 64, 140, 12, 533.765, 20.857, 0.480
1, 64, 160, 12, 533.589, 20.859, 0.480
1, 128, 120, 12, 533.513, 20.859, 0.480
1, 128, 140, 12, 533.480, 20.860, 0.480
1, 128, 160, 12, 533.274, 20.861, 0.480
2, 32, 40, 12, 210.847, 24.891, 0.552
2, 32, 100, 8, 207.901, 24.952, 0.553
2, 64, 40, 12, 206.802, 24.975, 0.561
2, 64, 60, 11, 206.206, 24.988, 0.562
2, 64, 100, 9, 203.510, 25.045, 0.563
2, 128, 100, 9, 202.468, 25.067, 0.565
3, 64, 40, 9, 202.032, 25.077, 0.552
3, 64, 60, 6, 200.992, 25.099, 0.552
3, 64, 100, 3, 198.573, 25.152, 0.551
3, 128, 100, 4, 197.965, 25.165, 0.555
3, 256, 100, 3, 196.560, 25.196, 0.557
