Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 1443.406, 16.537, 0.224
1, 32, 40, 27, 549.554, 20.731, 0.360
1, 32, 60, 24, 543.127, 20.782, 0.362
1, 32, 80, 24, 541.847, 20.792, 0.362
1, 32, 120, 20, 530.326, 20.885, 0.368
1, 32, 140, 20, 530.298, 20.886, 0.368
1, 32, 160, 20, 529.414, 20.893, 0.368
1, 32, 180, 20, 529.395, 20.893, 0.368
1, 64, 120, 20, 526.430, 20.917, 0.370
1, 64, 140, 20, 526.399, 20.918, 0.370
1, 64, 160, 20, 525.503, 20.925, 0.371
1, 64, 180, 20, 525.484, 20.925, 0.371
2, 32, 40, 24, 344.308, 22.761, 0.461
2, 32, 60, 23, 341.843, 22.793, 0.462
2, 32, 100, 23, 338.507, 22.835, 0.465
2, 32, 140, 20, 338.442, 22.836, 0.465
2, 32, 160, 22, 336.632, 22.859, 0.466
2, 64, 80, 23, 336.469, 22.861, 0.469
2, 64, 100, 23, 334.406, 22.888, 0.471
2, 64, 140, 21, 333.815, 22.896, 0.471
2, 64, 160, 21, 333.029, 22.906, 0.472
2, 64, 180, 21, 332.854, 22.908, 0.472
2, 64, 200, 21, 332.850, 22.908, 0.472
3, 32, 40, 14, 302.151, 23.329, 0.487
3, 32, 80, 11, 301.867, 23.333, 0.487
3, 32, 100, 11, 301.097, 23.344, 0.488
3, 32, 120, 12, 300.642, 23.350, 0.488
3, 64, 40, 14, 298.009, 23.389, 0.496
3, 64, 60, 13, 297.251, 23.400, 0.496
3, 64, 100, 11, 297.007, 23.403, 0.496
3, 64, 120, 11, 296.828, 23.406, 0.496
3, 64, 140, 11, 296.746, 23.407, 0.496
3, 64, 160, 11, 296.660, 23.408, 0.496
3, 64, 180, 11, 296.581, 23.409, 0.496
