Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 20, 3, 2825.869, 13.619, 0.125
1, 32, 40, 32, 742.462, 19.424, 0.271
1, 32, 60, 31, 733.050, 19.479, 0.273
1, 32, 120, 20, 719.590, 19.560, 0.277
1, 32, 140, 20, 719.520, 19.560, 0.277
1, 32, 160, 20, 718.849, 19.564, 0.277
1, 32, 180, 20, 718.690, 19.565, 0.277
1, 64, 120, 20, 714.585, 19.590, 0.278
1, 64, 140, 20, 714.520, 19.591, 0.278
1, 64, 160, 20, 713.891, 19.594, 0.278
1, 64, 180, 20, 713.736, 19.595, 0.278
2, 32, 40, 44, 354.437, 22.635, 0.417
2, 32, 60, 39, 351.590, 22.670, 0.419
2, 32, 80, 39, 349.589, 22.695, 0.421
2, 32, 100, 39, 344.504, 22.759, 0.423
2, 32, 160, 36, 343.497, 22.772, 0.426
2, 32, 180, 36, 343.207, 22.775, 0.426
2, 32, 200, 36, 343.203, 22.775, 0.426
2, 64, 100, 40, 340.823, 22.806, 0.428
2, 64, 160, 36, 340.536, 22.809, 0.430
2, 64, 180, 36, 340.206, 22.813, 0.430
2, 64, 200, 36, 340.204, 22.813, 0.430
2, 256, 160, 36, 339.879, 22.818, 0.431
2, 256, 180, 36, 339.531, 22.822, 0.431
2, 256, 200, 36, 339.525, 22.822, 0.431
3, 32, 40, 20, 290.026, 23.506, 0.470
3, 32, 60, 19, 288.538, 23.529, 0.472
3, 32, 80, 19, 287.997, 23.537, 0.473
3, 32, 100, 19, 285.797, 23.570, 0.474
3, 64, 100, 18, 283.830, 23.600, 0.479
3, 128, 100, 18, 283.477, 23.606, 0.481
3, 256, 100, 18, 282.621, 23.619, 0.481
