Radius, # Bins, Delta, N, MSE, PSNR, SSIM
1, 32, 100, 19, 443.825, 21.659, 0.367
1, 32, 120, 16, 426.214, 21.835, 0.373
1, 32, 140, 16, 426.175, 21.835, 0.374
1, 32, 160, 16, 425.635, 21.840, 0.374
1, 32, 180, 16, 425.575, 21.841, 0.374
1, 64, 120, 16, 418.250, 21.916, 0.377
1, 64, 140, 16, 418.211, 21.917, 0.377
1, 64, 160, 16, 417.694, 21.922, 0.377
1, 64, 180, 16, 417.638, 21.923, 0.377
2, 32, 100, 22, 257.196, 24.028, 0.484
2, 64, 60, 23, 256.130, 24.046, 0.487
2, 64, 100, 20, 253.334, 24.094, 0.489
2, 64, 160, 20, 252.958, 24.100, 0.491
2, 64, 180, 20, 252.825, 24.103, 0.492
2, 256, 100, 21, 252.810, 24.103, 0.491
2, 256, 180, 20, 252.672, 24.105, 0.493
3, 32, 100, 9, 240.712, 24.316, 0.505
3, 64, 40, 12, 238.413, 24.357, 0.511
3, 64, 60, 10, 238.064, 24.364, 0.511
3, 64, 100, 8, 237.391, 24.376, 0.511
3, 128, 100, 9, 236.690, 24.389, 0.514
3, 256, 100, 9, 235.908, 24.403, 0.515
